workload_name,dram_ipc,dram_llc_miss,dram_useful_prefetch_hit,dram_mshr_pf_hit,cxl_ipc,cxl_llc_miss,cxl_useful_prefetch_hit,cxl_mshr_pf_hit
401.bzip2-277B,1.626,689671,341909,9452,1.59,686320,341788,10286
456.hmmer-88B,2.004,204698,140517,900,1.991,197791,139031,1288
638.imagick_s-824B,1.8,51142,52337,1,1.801,51012,50704,1
445.gobmk-2B,1.181,338903,175040,18274,1.159,303287,166092,17137
459.GemsFDTD-1211B,0.7029,9526927,1317887,4745,0.6659,12133426,1312883,5265
464.h264ref-64B,2.039,430798,234619,13360,1.998,493396,227683,17930
619.lbm_s-3766B,1.105,4440624,564549,40994,0.7719,4671003,587533,46100
459.GemsFDTD-765B,0.6134,12468830,1501892,9949,0.5144,17668367,1485299,12646
459.GemsFDTD-1491B,1.264,9635498,4424301,145783,0.8664,11804115,4402084,172795
625.x264_s-18B,2.835,61475,26062,844,2.784,60526,26433,862
621.wrf_s-8065B,1.921,3490030,1495034,171116,1.705,3260160,1475939,177424
625.x264_s-12B,2.87,44822,27546,438,2.846,34668,24159,339
654.roms_s-523B,1.116,10331067,3286717,292461,0.8728,13046501,3267748,313343
403.gcc-17B,0.3305,6656066,1373837,153877,0.2625,6878246,1346428,102440
628.pop2_s-17B,2.156,1557943,1050629,193743,1.995,1710957,1038274,197574
471.omnetpp-188B,0.2652,12478127,1432540,138943,0.23,13220154,1434166,144415
641.leela_s-1083B,1.386,21198,77170,788,1.385,21770,77011,893
433.milc-337B,0.6514,12498028,1003723,171325,0.5477,12949031,1070308,219620
436.cactusADM-1804B,1.71,866032,960304,461,1.676,913187,938275,601
410.bwaves-2097B,1.696,4211280,2118698,233217,1.325,4942773,2100422,286266
648.exchange2_s-72B,1.658,2716,626,31,1.657,2616,616,28
607.cactuBSSN_s-3477B,2.015,355881,343293,49429,1.822,377806,336403,49278
473.astar-153B,1.174,651242,127834,2027,1.094,615178,123789,2010
429.mcf-51B,0.1147,37684419,3457354,123068,0.1016,40497923,3487690,114291
462.libquantum-714B,1.11,20704997,957152,1841221,0.7575,25135006,933266,1912662
649.fotonik3d_s-1B,1.929,7398,187,1,1.929,7433,187,1
429.mcf-217B,0.5854,20262610,3486428,784008,0.4034,20775678,3293696,781193
657.xz_s-4994B,1.855,32483,32430,491,1.852,34197,30977,838
444.namd-44B,2.272,17736,350829,18129,2.269,17668,353281,18529
623.xalancbmk_s-592B,0.8514,2071617,721092,452348,0.9571,1193526,681733,450269
644.nab_s-5853B,1.439,66681,282867,88,1.438,66449,283462,89
482.sphinx3-1297B,1.319,4576380,2197644,77684,1.049,5701356,2130421,108677
