Workload                  	Metric                   	  Count	      %	 AvgChange
400.perlbench-41B.csv     	l1d_mshr_pf_hit          	    122	   2.88	      1.54
400.perlbench-41B.csv     	l2c_mshr_pf_hit          	      9	   0.21	      1.67
400.perlbench-41B.csv     	llc_mshr_pf_hit          	    101	   2.38	      1.04
400.perlbench-41B.csv     	l1d_useless_prefetch     	   1248	  29.42	      2.12
400.perlbench-41B.csv     	l2c_useless_prefetch     	     61	   1.44	      1.02
400.perlbench-41B.csv     	llc_useless_prefetch     	   1951	  45.99	      6.34
400.perlbench-41B.csv     	l1d_useful_prefetch_hit  	    329	   7.76	      1.48
400.perlbench-41B.csv     	l2c_useful_prefetch_hit  	     92	   2.17	      1.63
400.perlbench-41B.csv     	llc_useful_prefetch_hit  	   1133	  26.71	      4.69
400.perlbench-50B.csv     	l1d_mshr_pf_hit          	     47	   5.32	      1.26
400.perlbench-50B.csv     	l2c_mshr_pf_hit          	      0	   0.00	      0.00
400.perlbench-50B.csv     	llc_mshr_pf_hit          	     19	   2.15	      1.00
400.perlbench-50B.csv     	l1d_useless_prefetch     	     92	  10.41	      1.04
400.perlbench-50B.csv     	l2c_useless_prefetch     	      7	   0.79	      1.00
400.perlbench-50B.csv     	llc_useless_prefetch     	     44	   4.98	      1.77
400.perlbench-50B.csv     	l1d_useful_prefetch_hit  	     46	   5.20	      1.24
400.perlbench-50B.csv     	l2c_useful_prefetch_hit  	     10	   1.13	      1.20
400.perlbench-50B.csv     	llc_useful_prefetch_hit  	    138	  15.61	      3.75
401.bzip2-226B.csv        	l1d_mshr_pf_hit          	    190	  13.67	      3.76
401.bzip2-226B.csv        	l2c_mshr_pf_hit          	    162	  11.65	      4.14
401.bzip2-226B.csv        	llc_mshr_pf_hit          	     62	   4.46	      1.40
401.bzip2-226B.csv        	l1d_useless_prefetch     	    580	  41.73	     13.02
401.bzip2-226B.csv        	l2c_useless_prefetch     	    135	   9.71	      1.24
401.bzip2-226B.csv        	llc_useless_prefetch     	    326	  23.45	      8.09
401.bzip2-226B.csv        	l1d_useful_prefetch_hit  	    278	  20.00	      4.34
401.bzip2-226B.csv        	l2c_useful_prefetch_hit  	    263	  18.92	     11.73
401.bzip2-226B.csv        	llc_useful_prefetch_hit  	    535	  38.49	    162.73
401.bzip2-277B.csv        	l1d_mshr_pf_hit          	    374	  32.72	      4.65
401.bzip2-277B.csv        	l2c_mshr_pf_hit          	    239	  20.91	      1.59
401.bzip2-277B.csv        	llc_mshr_pf_hit          	     50	   4.37	      1.06
401.bzip2-277B.csv        	l1d_useless_prefetch     	    536	  46.89	      7.34
401.bzip2-277B.csv        	l2c_useless_prefetch     	    381	  33.33	      5.40
401.bzip2-277B.csv        	llc_useless_prefetch     	    524	  45.84	     42.07
401.bzip2-277B.csv        	l1d_useful_prefetch_hit  	    326	  28.52	      4.55
401.bzip2-277B.csv        	l2c_useful_prefetch_hit  	    435	  38.06	      8.61
401.bzip2-277B.csv        	llc_useful_prefetch_hit  	    397	  34.73	     62.56
401.bzip2-38B.csv         	l1d_mshr_pf_hit          	    252	  22.38	      2.42
401.bzip2-38B.csv         	l2c_mshr_pf_hit          	     93	   8.26	      5.30
401.bzip2-38B.csv         	llc_mshr_pf_hit          	     42	   3.73	      1.14
401.bzip2-38B.csv         	l1d_useless_prefetch     	    398	  35.35	      7.50
